suspect_id,first_name,last_name,gender,age,national_id,known_addresses,criminal_record_summary,biometric_data,behavior_patterns
SUSP-00011,Alex,Lee,Female,36,NID001010,"Huye, Southern",Gang activity,"{""facial_features"": {""eye_distance"": 69.12, ""nose_width"": 39.1}, ""fingerprint_hash"": ""fp_557540""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00012,Jane,Smith,Male,56,NID001011,"Musanze, Northern",Repeat offender,"{""facial_features"": {""eye_distance"": 61.38, ""nose_width"": 32.85}, ""fingerprint_hash"": ""fp_225967""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00013,Pat,Lee,Male,22,NID001012,"Musanze, Northern",Gang activity,"{""facial_features"": {""eye_distance"": 61.75, ""nose_width"": 42.91}, ""fingerprint_hash"": ""fp_980399""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00014,Pat,Doe,Male,29,NID001013,"Kicukiro, Kigali",Gang activity,"{""facial_features"": {""eye_distance"": 65.51, ""nose_width"": 33.98}, ""fingerprint_hash"": ""fp_599408""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00015,Pat,Brown,Female,36,NID001014,"Rwamagana, Eastern",First time offense,"{""facial_features"": {""eye_distance"": 63.72, ""nose_width"": 44.44}, ""fingerprint_hash"": ""fp_784691""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00016,John,Brown,Male,29,NID001015,"Nyanza, Southern",Repeat offender,"{""facial_features"": {""eye_distance"": 61.86, ""nose_width"": 41.62}, ""fingerprint_hash"": ""fp_145741""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00017,Alex,Lee,Male,53,NID001016,"Musanze, Northern",First time offense,"{""facial_features"": {""eye_distance"": 62.2, ""nose_width"": 41.19}, ""fingerprint_hash"": ""fp_248198""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00018,Pat,Smith,Female,29,NID001017,"Musanze, Northern",Repeat offender,"{""facial_features"": {""eye_distance"": 64.54, ""nose_width"": 34.58}, ""fingerprint_hash"": ""fp_345239""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00019,John,Brown,Male,35,NID001018,"Nyarugenge, Kigali",Repeat offender,"{""facial_features"": {""eye_distance"": 59.86, ""nose_width"": 30.1}, ""fingerprint_hash"": ""fp_463933""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00020,Jane,Lee,Female,51,NID001019,"Huye, Southern",First time offense,"{""facial_features"": {""eye_distance"": 69.41, ""nose_width"": 42.7}, ""fingerprint_hash"": ""fp_410934""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00021,Pat,Smith,Female,50,NID001020,"Nyanza, Southern",Gang activity,"{""facial_features"": {""eye_distance"": 63.86, ""nose_width"": 36.53}, ""fingerprint_hash"": ""fp_762978""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00022,Pat,Lee,Female,35,NID001021,"Nyarugenge, Kigali",Gang activity,"{""facial_features"": {""eye_distance"": 56.2, ""nose_width"": 32.37}, ""fingerprint_hash"": ""fp_781761""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00023,John,Smith,Female,46,NID001022,"Rubavu, Western",Repeat offender,"{""facial_features"": {""eye_distance"": 56.98, ""nose_width"": 36.32}, ""fingerprint_hash"": ""fp_444954""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00024,Alex,Garcia,Female,22,NID001023,"Rubavu, Western",Gang activity,"{""facial_features"": {""eye_distance"": 69.8, ""nose_width"": 37.5}, ""fingerprint_hash"": ""fp_591306""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00025,Jane,Smith,Female,42,NID001024,"Musanze, Northern",First time offense,"{""facial_features"": {""eye_distance"": 63.72, ""nose_width"": 36.95}, ""fingerprint_hash"": ""fp_562260""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00026,Pat,Doe,Male,41,NID001025,"Nyagatare, Eastern",First time offense,"{""facial_features"": {""eye_distance"": 61.55, ""nose_width"": 34.92}, ""fingerprint_hash"": ""fp_530265""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00027,Alex,Garcia,Female,46,NID001026,"Nyagatare, Eastern",First time offense,"{""facial_features"": {""eye_distance"": 55.26, ""nose_width"": 39.1}, ""fingerprint_hash"": ""fp_339218""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00028,Jane,Lee,Male,55,NID001027,"Nyagatare, Eastern",Repeat offender,"{""facial_features"": {""eye_distance"": 69.34, ""nose_width"": 34.0}, ""fingerprint_hash"": ""fp_328819""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00029,Chris,Garcia,Male,50,NID001028,"Nyanza, Southern",Repeat offender,"{""facial_features"": {""eye_distance"": 63.84, ""nose_width"": 32.75}, ""fingerprint_hash"": ""fp_426929""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00030,Chris,Garcia,Female,27,NID001029,"Nyagatare, Eastern",Gang activity,"{""facial_features"": {""eye_distance"": 55.74, ""nose_width"": 30.47}, ""fingerprint_hash"": ""fp_507125""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00031,Jane,Lee,Male,54,NID001030,"Gasabo, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 66.62, ""nose_width"": 33.59}, ""fingerprint_hash"": ""fp_983638""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00032,John,Lee,Male,50,NID001031,"Rubavu, Western",First time offense,"{""facial_features"": {""eye_distance"": 62.16, ""nose_width"": 31.07}, ""fingerprint_hash"": ""fp_721371""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00033,Jane,Doe,Male,40,NID001032,"Gasabo, Kigali",Repeat offender,"{""facial_features"": {""eye_distance"": 66.09, ""nose_width"": 36.58}, ""fingerprint_hash"": ""fp_950676""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00034,Jane,Lee,Female,28,NID001033,"Rwamagana, Eastern",Repeat offender,"{""facial_features"": {""eye_distance"": 66.03, ""nose_width"": 38.42}, ""fingerprint_hash"": ""fp_497078""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00035,John,Brown,Male,41,NID001034,"Rubavu, Western",Repeat offender,"{""facial_features"": {""eye_distance"": 63.17, ""nose_width"": 39.42}, ""fingerprint_hash"": ""fp_310909""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00036,John,Brown,Male,41,NID001035,"Huye, Southern",First time offense,"{""facial_features"": {""eye_distance"": 59.8, ""nose_width"": 40.08}, ""fingerprint_hash"": ""fp_844948""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00037,Alex,Doe,Female,24,NID001036,"Musanze, Northern",First time offense,"{""facial_features"": {""eye_distance"": 57.11, ""nose_width"": 30.73}, ""fingerprint_hash"": ""fp_623192""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00038,Alex,Smith,Male,38,NID001037,"Kicukiro, Kigali",Gang activity,"{""facial_features"": {""eye_distance"": 56.28, ""nose_width"": 37.33}, ""fingerprint_hash"": ""fp_680253""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00039,John,Smith,Male,37,NID001038,"Gasabo, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 55.98, ""nose_width"": 31.71}, ""fingerprint_hash"": ""fp_678388""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00040,Chris,Brown,Male,27,NID001039,"Musanze, Northern",Gang activity,"{""facial_features"": {""eye_distance"": 59.75, ""nose_width"": 41.71}, ""fingerprint_hash"": ""fp_907591""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00041,Chris,Lee,Female,42,NID001040,"Rwamagana, Eastern",Gang activity,"{""facial_features"": {""eye_distance"": 59.73, ""nose_width"": 32.95}, ""fingerprint_hash"": ""fp_331288""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00042,Jane,Doe,Male,53,NID001041,"Rubavu, Western",First time offense,"{""facial_features"": {""eye_distance"": 66.33, ""nose_width"": 40.52}, ""fingerprint_hash"": ""fp_193208""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00043,Pat,Smith,Male,32,NID001042,"Nyarugenge, Kigali",Gang activity,"{""facial_features"": {""eye_distance"": 58.95, ""nose_width"": 38.77}, ""fingerprint_hash"": ""fp_177567""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00044,Jane,Smith,Female,57,NID001043,"Nyagatare, Eastern",Gang activity,"{""facial_features"": {""eye_distance"": 63.74, ""nose_width"": 38.41}, ""fingerprint_hash"": ""fp_755146""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00045,Jane,Garcia,Female,57,NID001044,"Nyanza, Southern",Repeat offender,"{""facial_features"": {""eye_distance"": 58.65, ""nose_width"": 43.35}, ""fingerprint_hash"": ""fp_845487""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00046,Pat,Brown,Female,23,NID001045,"Nyanza, Southern",First time offense,"{""facial_features"": {""eye_distance"": 67.56, ""nose_width"": 39.91}, ""fingerprint_hash"": ""fp_153236""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00047,John,Lee,Male,54,NID001046,"Nyagatare, Eastern",Gang activity,"{""facial_features"": {""eye_distance"": 64.7, ""nose_width"": 35.82}, ""fingerprint_hash"": ""fp_269033""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00048,Chris,Doe,Female,19,NID001047,"Rwamagana, Eastern",Gang activity,"{""facial_features"": {""eye_distance"": 55.66, ""nose_width"": 37.71}, ""fingerprint_hash"": ""fp_991379""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00049,Jane,Smith,Female,29,NID001048,"Nyagatare, Eastern",Gang activity,"{""facial_features"": {""eye_distance"": 66.51, ""nose_width"": 40.7}, ""fingerprint_hash"": ""fp_605129""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00050,Pat,Garcia,Female,21,NID001049,"Musanze, Northern",First time offense,"{""facial_features"": {""eye_distance"": 63.55, ""nose_width"": 37.14}, ""fingerprint_hash"": ""fp_134764""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00051,Alex,Brown,Male,40,NID001050,"Musanze, Northern",Repeat offender,"{""facial_features"": {""eye_distance"": 58.46, ""nose_width"": 43.55}, ""fingerprint_hash"": ""fp_770100""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00052,Jane,Brown,Female,30,NID001051,"Rubavu, Western",Repeat offender,"{""facial_features"": {""eye_distance"": 58.69, ""nose_width"": 33.72}, ""fingerprint_hash"": ""fp_254722""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00053,Chris,Doe,Female,34,NID001052,"Huye, Southern",First time offense,"{""facial_features"": {""eye_distance"": 64.23, ""nose_width"": 38.98}, ""fingerprint_hash"": ""fp_462942""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00054,John,Smith,Female,48,NID001053,"Huye, Southern",First time offense,"{""facial_features"": {""eye_distance"": 63.33, ""nose_width"": 31.35}, ""fingerprint_hash"": ""fp_205244""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00055,Jane,Doe,Female,33,NID001054,"Nyanza, Southern",First time offense,"{""facial_features"": {""eye_distance"": 68.14, ""nose_width"": 36.57}, ""fingerprint_hash"": ""fp_538219""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00056,Jane,Doe,Female,58,NID001055,"Nyarugenge, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 64.12, ""nose_width"": 36.19}, ""fingerprint_hash"": ""fp_753993""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00057,Pat,Garcia,Male,43,NID001056,"Nyanza, Southern",Repeat offender,"{""facial_features"": {""eye_distance"": 59.06, ""nose_width"": 44.95}, ""fingerprint_hash"": ""fp_109798""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00058,Alex,Brown,Male,45,NID001057,"Nyagatare, Eastern",Gang activity,"{""facial_features"": {""eye_distance"": 59.19, ""nose_width"": 37.28}, ""fingerprint_hash"": ""fp_884009""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00059,Alex,Lee,Female,18,NID001058,"Gasabo, Kigali",Gang activity,"{""facial_features"": {""eye_distance"": 55.05, ""nose_width"": 39.08}, ""fingerprint_hash"": ""fp_171939""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00060,John,Brown,Female,29,NID001059,"Nyagatare, Eastern",First time offense,"{""facial_features"": {""eye_distance"": 68.95, ""nose_width"": 41.92}, ""fingerprint_hash"": ""fp_567790""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00061,Chris,Brown,Female,54,NID001060,"Nyanza, Southern",First time offense,"{""facial_features"": {""eye_distance"": 65.19, ""nose_width"": 36.93}, ""fingerprint_hash"": ""fp_585526""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00062,John,Garcia,Male,37,NID001061,"Huye, Southern",Gang activity,"{""facial_features"": {""eye_distance"": 63.42, ""nose_width"": 30.23}, ""fingerprint_hash"": ""fp_425340""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00063,Jane,Lee,Male,19,NID001062,"Gasabo, Kigali",Repeat offender,"{""facial_features"": {""eye_distance"": 61.32, ""nose_width"": 39.11}, ""fingerprint_hash"": ""fp_832510""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00064,Jane,Smith,Male,53,NID001063,"Nyarugenge, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 67.94, ""nose_width"": 35.3}, ""fingerprint_hash"": ""fp_702946""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00065,Alex,Lee,Male,32,NID001064,"Rwamagana, Eastern",First time offense,"{""facial_features"": {""eye_distance"": 69.18, ""nose_width"": 38.71}, ""fingerprint_hash"": ""fp_639903""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00066,Chris,Smith,Female,55,NID001065,"Kicukiro, Kigali",Repeat offender,"{""facial_features"": {""eye_distance"": 58.77, ""nose_width"": 33.99}, ""fingerprint_hash"": ""fp_619080""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00067,Pat,Lee,Female,39,NID001066,"Musanze, Northern",Repeat offender,"{""facial_features"": {""eye_distance"": 57.44, ""nose_width"": 32.61}, ""fingerprint_hash"": ""fp_523636""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00068,Chris,Doe,Female,49,NID001067,"Nyagatare, Eastern",Repeat offender,"{""facial_features"": {""eye_distance"": 63.68, ""nose_width"": 41.14}, ""fingerprint_hash"": ""fp_176069""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00069,Jane,Lee,Female,37,NID001068,"Rubavu, Western",First time offense,"{""facial_features"": {""eye_distance"": 62.65, ""nose_width"": 37.37}, ""fingerprint_hash"": ""fp_670139""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00070,Pat,Garcia,Male,53,NID001069,"Nyagatare, Eastern",Repeat offender,"{""facial_features"": {""eye_distance"": 60.94, ""nose_width"": 43.92}, ""fingerprint_hash"": ""fp_428575""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00071,Chris,Smith,Female,50,NID001070,"Nyanza, Southern",First time offense,"{""facial_features"": {""eye_distance"": 65.71, ""nose_width"": 43.75}, ""fingerprint_hash"": ""fp_735885""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00072,Chris,Brown,Male,32,NID001071,"Nyagatare, Eastern",First time offense,"{""facial_features"": {""eye_distance"": 60.97, ""nose_width"": 34.18}, ""fingerprint_hash"": ""fp_640305""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00073,Pat,Garcia,Male,20,NID001072,"Rwamagana, Eastern",Repeat offender,"{""facial_features"": {""eye_distance"": 55.96, ""nose_width"": 38.58}, ""fingerprint_hash"": ""fp_430642""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00074,Jane,Smith,Female,46,NID001073,"Huye, Southern",Gang activity,"{""facial_features"": {""eye_distance"": 64.58, ""nose_width"": 35.66}, ""fingerprint_hash"": ""fp_454153""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00075,Chris,Smith,Male,44,NID001074,"Nyarugenge, Kigali",Repeat offender,"{""facial_features"": {""eye_distance"": 65.53, ""nose_width"": 42.05}, ""fingerprint_hash"": ""fp_720417""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00076,Pat,Brown,Male,22,NID001075,"Kicukiro, Kigali",Gang activity,"{""facial_features"": {""eye_distance"": 65.49, ""nose_width"": 32.36}, ""fingerprint_hash"": ""fp_810298""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00077,Jane,Doe,Female,48,NID001076,"Nyagatare, Eastern",Repeat offender,"{""facial_features"": {""eye_distance"": 64.16, ""nose_width"": 31.03}, ""fingerprint_hash"": ""fp_581172""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00078,Pat,Garcia,Male,39,NID001077,"Rubavu, Western",Repeat offender,"{""facial_features"": {""eye_distance"": 58.04, ""nose_width"": 31.03}, ""fingerprint_hash"": ""fp_380382""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00079,Pat,Brown,Male,52,NID001078,"Huye, Southern",First time offense,"{""facial_features"": {""eye_distance"": 58.54, ""nose_width"": 42.83}, ""fingerprint_hash"": ""fp_361899""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00080,Chris,Brown,Female,24,NID001079,"Musanze, Northern",First time offense,"{""facial_features"": {""eye_distance"": 59.59, ""nose_width"": 33.95}, ""fingerprint_hash"": ""fp_579740""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00081,Jane,Doe,Male,23,NID001080,"Huye, Southern",First time offense,"{""facial_features"": {""eye_distance"": 61.32, ""nose_width"": 35.97}, ""fingerprint_hash"": ""fp_601522""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00082,Chris,Garcia,Male,43,NID001081,"Nyanza, Southern",First time offense,"{""facial_features"": {""eye_distance"": 62.83, ""nose_width"": 33.24}, ""fingerprint_hash"": ""fp_746533""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00083,John,Brown,Female,18,NID001082,"Musanze, Northern",First time offense,"{""facial_features"": {""eye_distance"": 69.18, ""nose_width"": 44.54}, ""fingerprint_hash"": ""fp_979937""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00084,John,Doe,Male,36,NID001083,"Rubavu, Western",First time offense,"{""facial_features"": {""eye_distance"": 63.74, ""nose_width"": 32.58}, ""fingerprint_hash"": ""fp_703855""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00085,Jane,Garcia,Female,24,NID001084,"Musanze, Northern",First time offense,"{""facial_features"": {""eye_distance"": 68.61, ""nose_width"": 30.86}, ""fingerprint_hash"": ""fp_342371""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00086,Pat,Lee,Male,53,NID001085,"Huye, Southern",Gang activity,"{""facial_features"": {""eye_distance"": 61.9, ""nose_width"": 40.45}, ""fingerprint_hash"": ""fp_165878""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00087,Chris,Smith,Male,29,NID001086,"Nyagatare, Eastern",Gang activity,"{""facial_features"": {""eye_distance"": 60.92, ""nose_width"": 39.8}, ""fingerprint_hash"": ""fp_223145""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00088,Chris,Doe,Female,37,NID001087,"Kicukiro, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 58.41, ""nose_width"": 30.65}, ""fingerprint_hash"": ""fp_652557""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00089,Jane,Smith,Female,40,NID001088,"Nyarugenge, Kigali",Gang activity,"{""facial_features"": {""eye_distance"": 69.93, ""nose_width"": 44.05}, ""fingerprint_hash"": ""fp_754361""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00090,Jane,Lee,Male,42,NID001089,"Musanze, Northern",Repeat offender,"{""facial_features"": {""eye_distance"": 61.63, ""nose_width"": 41.69}, ""fingerprint_hash"": ""fp_287529""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00091,John,Brown,Female,47,NID001090,"Rwamagana, Eastern",Gang activity,"{""facial_features"": {""eye_distance"": 59.35, ""nose_width"": 44.64}, ""fingerprint_hash"": ""fp_883808""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00092,Alex,Brown,Male,46,NID001091,"Huye, Southern",First time offense,"{""facial_features"": {""eye_distance"": 67.94, ""nose_width"": 38.26}, ""fingerprint_hash"": ""fp_752058""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00093,Jane,Garcia,Female,48,NID001092,"Kicukiro, Kigali",Gang activity,"{""facial_features"": {""eye_distance"": 65.18, ""nose_width"": 37.79}, ""fingerprint_hash"": ""fp_611951""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00094,Alex,Doe,Male,35,NID001093,"Nyanza, Southern",Repeat offender,"{""facial_features"": {""eye_distance"": 68.68, ""nose_width"": 34.83}, ""fingerprint_hash"": ""fp_496692""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00095,Jane,Doe,Male,58,NID001094,"Rwamagana, Eastern",Gang activity,"{""facial_features"": {""eye_distance"": 59.03, ""nose_width"": 33.75}, ""fingerprint_hash"": ""fp_265092""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00096,Pat,Garcia,Male,36,NID001095,"Rwamagana, Eastern",First time offense,"{""facial_features"": {""eye_distance"": 69.47, ""nose_width"": 39.59}, ""fingerprint_hash"": ""fp_443846""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00097,Pat,Smith,Male,21,NID001096,"Nyarugenge, Kigali",Repeat offender,"{""facial_features"": {""eye_distance"": 63.32, ""nose_width"": 38.31}, ""fingerprint_hash"": ""fp_848571""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00098,John,Brown,Male,18,NID001097,"Gasabo, Kigali",Repeat offender,"{""facial_features"": {""eye_distance"": 59.72, ""nose_width"": 32.42}, ""fingerprint_hash"": ""fp_694990""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00099,John,Brown,Female,58,NID001098,"Nyanza, Southern",Gang activity,"{""facial_features"": {""eye_distance"": 63.91, ""nose_width"": 32.98}, ""fingerprint_hash"": ""fp_976161""}","{""movement"": ""stays in hideouts"", ""associates"": ""family""}"
SUSP-00100,Alex,Doe,Female,32,NID001099,"Musanze, Northern",Repeat offender,"{""facial_features"": {""eye_distance"": 63.94, ""nose_width"": 35.0}, ""fingerprint_hash"": ""fp_274280""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00101,Jane,Doe,Male,25,NID001100,"Rubavu, Western",Repeat offender,"{""facial_features"": {""eye_distance"": 57.49, ""nose_width"": 36.16}, ""fingerprint_hash"": ""fp_162180""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00102,Chris,Garcia,Male,32,NID001101,"Nyarugenge, Kigali",Repeat offender,"{""facial_features"": {""eye_distance"": 66.14, ""nose_width"": 42.73}, ""fingerprint_hash"": ""fp_820223""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00103,John,Lee,Female,32,NID001102,"Rubavu, Western",First time offense,"{""facial_features"": {""eye_distance"": 62.94, ""nose_width"": 36.68}, ""fingerprint_hash"": ""fp_509223""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
